recording_id,source_id,azimuth,vertical_elevation,horizontal_elevation
95,67,325,0,0
95,83,265,-30,0
95,91,80,30,0
95,106,315,-30,0
95,114,190,-30,0
96,21,230,0,0
96,50,33,-29,0
96,64,280,30,0
96,70,95,0,0
96,82,105,-30,0
96,86,220,30,0
96,96,295,-30,0
96,103,159,30,0
96,111,355,-30,0
96,120,65,0,0
97,85,57,-29,0
98,93,225,-30,0
99,15,201,30,0
100,73,80,30,0
101,61,265,-30,0
102,81,30,-30,0
103,63,5,-30,0
104,56,245,30,0
105,65,212,0,0
105,114,45,-30,0
106,9,201,-30,0
106,102,21,30,0
107,5,147,29,0
107,110,292,0,0
108,7,339,30,0
108,25,147,-29,0
109,51,190,0,0
109,79,50,-30,0
110,75,105,30,0
110,84,295,0,0
111,21,20,-30,0
111,105,251,0,0
112,118,251,0,0
112,120,45,30,0
113,36,260,0,0
113,42,45,30,0
113,60,15,-30,0
114,17,45,-30,0
114,94,185,30,0
114,96,60,0,0
115,26,190,-30,0
115,111,15,30,0
115,116,45,0,0
116,27,58,0,0
116,62,15,30,0
116,121,270,-30,0
117,33,10,30,0
117,76,270,-30,0
117,103,75,0,0
118,57,235,-30,0
118,86,140,30,0
118,109,325,0,0
119,43,265,0,0
119,48,35,30,0
119,95,65,-30,0
120,19,159,30,0
120,46,230,-30,0
120,111,355,0,0
121,5,238,0,0
121,41,340,30,0
121,59,130,-30,0
122,10,265,0,0
122,94,327,-29,0
122,99,145,30,0
123,11,67,0,0
123,49,15,30,0
123,72,225,-30,0
124,22,220,0,0
124,31,40,30,0
124,115,85,-30,0
125,33,20,-30,0
125,77,60,30,0
125,116,220,0,0
126,36,225,0,0
126,47,150,-30,0
126,81,330,30,0
127,13,355,30,0
127,20,235,0,0
127,96,111,-30,0
128,44,140,30,0
128,60,330,0,0
128,75,245,-30,0
129,7,5,30,0
129,22,260,-30,0
129,50,355,0,0
129,100,100,0,0
130,34,185,30,0
130,38,291,0,0
130,52,165,-30,0
130,105,80,30,0
131,37,33,29,0
131,43,355,30,0
131,48,95,0,0
131,92,245,-30,0
132,6,155,-30,0
132,27,220,-30,0
132,73,300,30,0
132,118,45,0,0
133,28,70,-30,0
133,75,205,-30,0
133,103,305,0,0
133,114,170,30,0
134,23,55,-30,0
134,27,135,30,0
134,35,195,30,0
134,117,290,0,0
135,22,280,0,0
135,31,213,29,0
135,74,140,-30,0
135,88,75,30,0
136,35,215,30,0
136,42,150,30,0
136,92,80,0,0
136,97,285,-30,0
137,8,159,-30,0
137,58,65,30,0
137,83,205,-30,0
137,89,291,0,0
138,32,210,-30,0
138,51,90,0,0
138,62,295,30,0
138,84,175,-30,0
139,34,265,30,0
139,39,115,0,0
139,109,330,0,0
139,113,0,-30,0
140,45,0,-30,0
140,52,255,0,0
140,57,130,30,0
140,122,25,-30,0
141,9,140,-30,0
141,60,280,0,0
141,80,60,30,0
141,88,200,30,0
142,4,240,0,0
142,19,5,30,0
142,55,95,-30,0
142,110,330,-30,0
143,12,85,0,0
143,68,180,30,0
143,90,280,-30,0
143,96,199,0,0
144,60,145,-30,0
144,68,185,-30,0
144,94,85,0,0
144,107,315,30,0
145,11,100,0,0
145,18,5,-30,0
145,37,345,0,0
145,59,260,30,0
145,93,50,30,0
146,16,315,0,0
146,27,165,30,0
146,51,270,-30,0
146,62,122,0,0
146,121,195,-30,0
147,10,220,0,0
147,19,95,-30,0
147,50,295,30,0
147,71,155,30,0
147,112,285,0,0
148,5,105,30,0
148,37,150,-30,0
148,56,195,0,0
148,94,289,0,0
148,113,335,-30,0
149,27,100,30,0
149,62,230,-30,0
149,71,50,0,0
149,95,355,0,0
149,101,5,-30,0
150,42,345,-30,0
150,59,10,30,0
150,64,95,0,0
150,68,40,-30,0
150,110,240,30,0
151,10,260,30,0
151,22,109,0,0
151,31,20,-30,0
151,74,325,0,0
151,88,40,30,0
152,40,15,-30,0
152,44,30,30,0
152,52,115,0,0
152,55,350,-30,0
152,84,265,30,0
153,29,140,30,0
153,39,295,-30,0
153,43,289,0,0
153,79,185,30,0
153,93,120,-30,0
154,60,135,0,0
154,62,320,0,0
154,67,270,30,0
154,101,175,-30,0
154,120,190,30,0
155,34,185,30,0
155,39,115,0,0
155,64,275,30,0
155,109,330,0,0
155,113,180,-30,0
156,3,33,29,0
